1_1	3_1	100.00	320	0	0	1	320	1	320	0.0	 656
1_1	2_1	100.00	320	0	0	1	320	1	320	0.0	 656
1_1	1_1	100.00	320	0	0	1	320	1	320	0.0	 656
aaa_00002	ccc_00002	100.00	49	0	0	1	49	1	49	9e-30	93.2
aaa_00002	bbb_00002	100.00	49	0	0	1	49	1	49	9e-30	93.2
aaa_00002	aaa_00002	100.00	49	0	0	1	49	1	49	9e-30	93.2
aaa_00003	ccc_00003	100.00	66	0	0	1	66	1	66	5e-45	 133
aaa_00003	bbb_00003	100.00	66	0	0	1	66	1	66	5e-45	 133
aaa_00003	aaa_00003	100.00	66	0	0	1	66	1	66	5e-45	 133
aaa_00004	ccc_00004	100.00	239	0	0	1	239	1	239	2e-178	 486
aaa_00004	bbb_00004	100.00	239	0	0	1	239	1	239	2e-178	 486
aaa_00004	aaa_00004	100.00	239	0	0	1	239	1	239	2e-178	 486
1_2	3_2	100.00	242	0	0	1	242	1	242	1e-179	 489
1_2	2_2	100.00	242	0	0	1	242	1	242	1e-179	 489
1_2	1_2	100.00	242	0	0	1	242	1	242	1e-179	 489
aaa_00006	ccc_00006	100.00	242	0	0	1	242	1	242	2e-180	 491
aaa_00006	bbb_00006	100.00	242	0	0	1	242	1	242	2e-180	 491
aaa_00006	aaa_00006	100.00	242	0	0	1	242	1	242	2e-180	 491
1_3	3_3	100.00	334	0	0	1	334	1	334	0.0	 696
1_3	2_3	100.00	334	0	0	1	334	1	334	0.0	 696
1_3	1_3	100.00	334	0	0	1	334	1	334	0.0	 696
aaa_00008	ccc_00008	100.00	312	0	0	1	312	1	312	0.0	 629
aaa_00008	bbb_00008	100.00	312	0	0	1	312	1	312	0.0	 629
aaa_00008	aaa_00008	100.00	312	0	0	1	312	1	312	0.0	 629
aaa_01705	ccc_01705	100.00	519	0	0	1	519	1	519	0.0	1041
aaa_01705	bbb_01705	100.00	519	0	0	1	519	1	519	0.0	1041
aaa_01705	aaa_01705	100.00	519	0	0	1	519	1	519	0.0	1041
aaa_00010	ccc_00010	100.00	76	0	0	1	76	1	76	2e-53	 155
aaa_00010	bbb_00010	100.00	76	0	0	1	76	1	76	2e-53	 155
aaa_00010	aaa_00010	100.00	76	0	0	1	76	1	76	2e-53	 155
aaa_00011	ccc_00011	100.00	316	0	0	1	316	1	316	0.0	 621
aaa_00011	bbb_00011	100.00	316	0	0	1	316	1	316	0.0	 621
aaa_00011	aaa_00011	100.00	316	0	0	1	316	1	316	0.0	 621
aaa_00012	ccc_00012	100.00	63	0	0	1	63	1	63	2e-42	 126
aaa_00012	bbb_00012	100.00	63	0	0	1	63	1	63	2e-42	 126
